sample_id,catalog_content,category,price,image_link,local_path
33127,"Item Name: La Victoria Green Taco Sauce Mild, 12 Ounce (Pack of 6)
Value: 72.0
Unit: Fl Oz
",tacosauce,4.890000000000001,https://m.media-amazon.com/images/I/51mo8htwTHL.jpg,assets/tacosauce/33127.jpg
55858,"Item Name: Judee’s Blue Cheese Powder 11.25 oz - Gluten-Free and Nut-Free - Use in Seasonings and Salad Dressings - Great for Dips, Spreads and Sauces - Made in USA
Bullet Point 1: Add to your favorite appetizers, dips & spreads. Use to season popcorn or warmed pita chips.
Bullet Point 2: Sprinkle over french fries, fried chicken, mashed potatoes, roasted veggies, pasta, and more
Bullet Point 3: Made in a dedicated gluten-free facility and shipped in a standup, resealable pouch to ensure freshness
Bullet Point 4: Ingredients: Blue Cheese (Milk, Salt, Cultures, & Enzymes) and Disodium Phosphate
Bullet Point 5: Since 2009, Judee’s has been dedicated to providing fresh, allergy-conscious ingredients, great for your recipes and even better for your family
Product Description: Judees Powdered Blue Cheese cheddar cheese powder is an alternative to mozzarella cheese shredded or american cheese slices deli. Make your own alfredo sauce with heavy cream and black buffalo dip with this powder. It adds extra flavor to salad dressing like ranch dressing and great on pizza dough or cauliflower pasta. Add to macaroni and cheese or popcorn seasoning for more aroma and cheesy feel. Combine with mustard and other ingredients to create your own dressing for buffalo chicken or buffalo wings.
Value: 11.25
Unit: Ounce
",blue_cheese_powder,30.34,https://m.media-amazon.com/images/I/41mu0HAToDL.jpg,assets/blue_cheese_powder/55858.jpg
170292,"Item Name: Smuckers Natural Peanut Butter Chunky, 16 OZ (Pack of 12)
Product Description: Smucker's Natural Chunky Peanut Butter - | Kosher | Made without Hydrogenated Oils |Smucker's Natural Chunky Peanut Butter is made with roasted peanuts and a dash of salt.
Value: 192.0
Unit: Fl Oz
",peanutbutter,4.255,https://m.media-amazon.com/images/I/31JwrRY9yqL.jpg,assets/peanutbutter/170292.jpg
37614,"Item Name: NATURES PATH CEREAL FLK MULTIGRAIN ORG ECO, 32 OZ, PK- 6
Value: 192.0
Unit: Fl Oz
",multigrain_cereals,35.74,https://m.media-amazon.com/images/I/21O9RftI2vL.jpg,assets/multigrain_cereals/37614.jpg
266475,"Item Name: Organic Vinegar; Apple Cider
Value: 102.0
Unit: Fl Oz
",apple_cider_vinegar,81.44,https://m.media-amazon.com/images/I/41SHfxsFz5L.jpg,assets/apple_cider_vinegar/266475.jpg
254947,"Item Name: Braswell's Key Lime Marinade for Sole 12oz
Bullet Point: Key Lime Marinade for sole. Very light but with a solid taste!
Product Description: Key Lime Marinade for sole. Very light but with a solid taste!
Value: 12.0
Unit: Ounce
",keylime_marinade,15.99,https://m.media-amazon.com/images/I/315YCWx0zrL.jpg,assets/keylime_marinade/254947.jpg
261251,"Item Name: Bear Creek Hearty Soup Bowl, Creamy Chicken with Rice, 1.9 Ounce (Pack of 6)
Bullet Point 1: Loaded with hearty long grain wild rice and vegetables
Bullet Point 2: Full of hearty goodness
Bullet Point 3: Single serve bowls
Bullet Point 4: Easy to prepare mix
Bullet Point 5: 0 grams trans fat
Value: 11.4
Unit: Ounce
",soup_mixes,1.97,https://m.media-amazon.com/images/I/51+PFEe-w-L.jpg,assets/soup_mixes/261251.jpg
21740,"Item Name: KiZE Bars, 4 Count, Cookie Dough Flavor, High Protein, Dairy Free, Gluten Free, Non-GMO, Soy Free Snack Food Bars
Bullet Point 1: REFRIGERATE: For maximum freshness and dessert-like taste!
Bullet Point 2: GREAT TASTE: Dessert like taste, kid approved, with minimal ingredients & maximum impact!
Bullet Point 3: HIGH PROTEIN: 8g-10g protein, A great high protein snack, meal replacement, breakfast on the go, pre and post workout, snack for kids, and healthy dessert snack!
Bullet Point 4: CLEAN & SIMPLE: Made with only 4-8 real food ingredients and from in-house freshly made nut-butters, KiZE Bars are packed with clean and simple food ingredients you can pronounce.
Bullet Point 5: LOOKING FOR VARIETY: We have plant-based, Keto, dairy-free, vegan options available for any dietary need. All KiZE bars are gluten free, natural, & soy free.
Bullet Point 6: MISSION BASED: With each KiZE Bar purchased, you are helping feed, support, and transform lives of those in need throughout the world. Your purchase impacts a community of 1,000 children in Haiti and helps serve the homeless, hungry, and youth right here in the USA!
Bullet Point 7: CONVINIENCE: KiZE bars are perfect for on-the-go lifestyles, as a meal replacement, pre & post workout, family friendly, or as a healthy dessert snack.
Bullet Point 8: FUEL YOUR BEST & EXPERIENCE THE KiZE DIFFERENCE!
Bullet Point 9: MADE IN THE USA!
Product Description: KiZE Energy Bar 4 Pack
Value: 4.0
Unit: Count
",energy_bars,6.98,https://m.media-amazon.com/images/I/41a5Wp9NKHL.jpg,assets/energy_bars/21740.jpg
292686,"Item Name: kedem Sherry Cooking Wine, 12.7 Ounce - 12 per case.
Bullet Point: kedem Sherry Cooking Wine, 12.7 Ounce - 12 per case.
Value: 12.0
Unit: Count
",cookingwine,66.49,https://m.media-amazon.com/images/I/41sA037+QvL.jpg,assets/cookingwine/292686.jpg
238044,"Item Name: Mrs. Miller's Seedless Black Raspberry Jam 9 Ounce (Pack of 4)
Bullet Point 1: Homemade Seedless Black Raspberry Jam made from the finest ripened black raspberries
Bullet Point 2: Hand scooped in Ohio’s Amish Country
Bullet Point 3: Made with real Cane Sugar
Bullet Point 4: Spoon it onto your toast or biscuit, or use it as a tasty glaze on your pork or chicken
Bullet Point 5: GMO Free
Product Description: Made from the finest ripened black raspberries, Mrs. Miller's Homemade Seedless Black Raspberry Jam packs a delicious sweet taste. Black raspberries possess one of the richest flavors of all fruits, so it is no surprise that this flavor ranks at the top of everyone's list. Spoon it onto your toast or biscuit, or use it as a tasty glaze on your pork or chicken. Don't be surprised if you find yourself licking off the spoon with this one, or even just eating it right out of the jar. Hand scooped in Ohio's Amish Country. Ingredients: Pure Cane Sugar, Black Raspberries, Water, Pectin Lemon Juice, Citric Acid
Value: 9.0
Unit: Ounce
",jam,31.8,https://m.media-amazon.com/images/I/41miQk+RkJL.jpg,assets/jam/238044.jpg
198967,"Item Name: Salerno Cookies, The Original Butter Cookies, 8 Ounce (Pack of 4)
Bullet Point 1: Original Butter Cookies: Classic butter cookies made with real butter
Bullet Point 2: Variety Pack: Includes 4 boxes with 32 cookies total
Bullet Point 3: Occasion Perfect: Delicious cookies for birthdays, weddings, anniversaries
Bullet Point 4: Shareable Treats: Fun to give and enjoy with friends and family
Bullet Point 5: Salerno Brand: Trusted brand of delicious butter cookies since 1925
Value: 32.0
Unit: Ounce
",cookiespacks,13.12,https://m.media-amazon.com/images/I/71YtriIHAAL.jpg,assets/cookiespacks/198967.jpg
201749,"Item Name: ALOHA Organic Plant Based Protein Bar MINIS |Caramel Chocolate Pecan | 20 Count, 24g Bars | Vegan, Low Sugar, Gluten Free, Low Carb, Non-GMO, Stevia Free, Soy Free, No Sugar Alcohols
Bullet Point 1: BOX CONTAINS 20 - 24g USDA ORGANIC CHOCOLATE CARAMEL PECAN PLANT BASED PROTEIN BARS
Bullet Point 2: 6 GRAMS OF USDA ORGANIC PLANT-BASED PROTEIN, 4g of Fiber, only 2g of Sugar, Nothing Artificial
Bullet Point 3: SERIOUSLY GREAT TASTING, Vegan, Non-GMO, gluten free snacks, Kosher, Soy-Free, Dairy-Free, Stevia-Free, High Fiber and Paleo Friendly
Bullet Point 4: MADE FOR A HEALTHY LIFESTYLE WITH 100% REAL WHOLE FOOD INGREDIENTS; organic brown rice protein, organic pumpkin seed protein, and nothing artificial
Bullet Point 5: 😋 A DELICIOUS OPTION FOR VEGETARIANS, VEGANS, CELIACS AND PALEO FRIENDLY DIETS. Makes a perfect snack, meal replacement, breakfast on the go or helps to fuel or refuel pre/post workouts or exercise
Bullet Point 6: ALOHA CARES. As a Certified B-Corp, ALOHA cares as much about our products as we do about our people and planet!
Value: 20.0
Unit: Count
",proteinbars,32.09,https://m.media-amazon.com/images/I/518e+PYWKZL.jpg,assets/proteinbars/201749.jpg
